accession_number,species_name
KT963290.1,Bathynomus maxeyorum
KT963289.1,Bathynomus maxeyorum
KT963288.1,Bathynomus giganteus
KT963287.1,Bathynomus giganteus
KT963286.1,Bathynomus giganteus
KT963285.1,Bathynomus giganteus
KT963284.1,Bathynomus giganteus
KT963283.1,Bathynomus giganteus
KT963282.1,Bathynomus giganteus
AY566523.1,Bathynomus giganteus
AB851912.1,Bathynomus doederleini
MN654916.1,Bathynomus doederleini
