"region","metric","mean","sd","ci_lower","ci_upper"
"Exuma","Catch per Trap Hour",2.26666666666667,3.02728334393139,0,5.29395001059806
"Exuma","Catch per Trap",0.75,0.889756521002609,0,1.63975652100261
"Exuma","Depth (m)",781.625,19.25,762.375,800.875
"Exuma","Temperature (°C)",9.0125,0.347311099736245,8.66518890026375,9.35981109973624
"Nassau","Catch per Trap Hour",5.86038961038961,5.42421608047693,0.436173529912681,11.2846056908665
"Nassau","Catch per Trap",2.875,2.72717802865893,0.147821971341072,5.60217802865893
"Nassau","Depth (m)",836.25,125.486719084797,710.763280915203,961.736719084797
"Nassau","Temperature (°C)",7.86,1.52645558948391,6.33354441051609,9.38645558948391
