latitude,longitude,date,species,url,image_url,reference,n,location,depth,gear,temp,traps,id,notes,source,sex,source_id,previous_species,aquarium_inp,obs_type,id_correct,misid_reason,reviewer,is_sequenced,tax_type,genbank_accession
22.405,-91.62833,5/27/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136917,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",13,Yucatan,619,,,,580,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3286 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3286,,,,,,,FALSE,,
26.94,-85.024,4/8/11,Bathynomus giganteus,https://www.gbif.org/occurrence/2249524786,,Timm2018,1,Gulf of Mexico,,,,,1064,Gulf of Mexico - These records are incorrect in GBIF and refer to longitude as East when it should be West,GBIF,,GBCMI3570-19,,,,,,JJ,TRUE,,
22.44,-91.42167,5/28/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136886,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,560,,,,581,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3284 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3284,,,,,,,FALSE,,
22.44833,-91.34833,5/28/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136889,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,410.5,,,,582,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3278 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3278,,,,,,,FALSE,,
22.47833,-91.72333,5/29/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136874,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,1049,,,,583,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3289 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3289,,,,,,,FALSE,,
22.41833,-91.645,5/29/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136878,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",2,Yucatan,523,,,,584,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3282 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3282,,,,,,,FALSE,,
22.43,-91.445,5/30/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136855,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",1,Yucatan,498,,,,585,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3280 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3280,,,,,,,FALSE,,
3.91451,-53.24036,,Bathynomus giganteus,https://www.gbif.org/occurrence/4547755134,,,1,French Guiana,,,,,2075,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode:  | collectionCode:  | catalogNumber:  | recordNumber:  | recordedBy:  | identifiedBy:  | locality:  | waterBody:  | country: French Guiana",GBIF,,756ad46b-1ece-4145-85fa-aa04ba9a0285,,,,,,,FALSE,,
22.40833,-91.55,5/30/90,Bathynomus giganteus,https://www.gbif.org/occurrence/1439136897,,"McClain CR, Balk MA, Benfield MC, Branch TA, Chen C, Cosgrove J, Dove ADM, Gaskins LC, Helm R, Hochberg FG, Lee FB, Marshall A, McMurray SE, Schanche C, Stone SN, Thaler AD (2015) Sizing ocean giants: patterns of intraspecific size variation in marine megafauna. Peer J 3: e715. http://dx.doi.org/10.7717/peerj.715",4,Yucatan,523.5,,,,586,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: HUMAN_OBSERVATION | institutionCode: Duke | collectionCode: Sizing Ocean Giants | catalogNumber: SOG-3281 Bathynomus giganteus | recordNumber:  | recordedBy:  | identifiedBy:  | locality: Yucatan | waterBody: Caribbean Sea | country: Mexico",GBIF,,3281,,,,,,,FALSE,,
26.3333,-96.216,6/1/90,Bathynomus giganteus,https://www.gbif.org/occurrence/2416931495,,,1,Pacific Ocean,554,,,,587,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: PRESERVED_SPECIMEN | institutionCode: SIO | collectionCode: BIC | catalogNumber: C9660 | recordNumber:  | recordedBy:  | identifiedBy:  | locality:  | waterBody: Pacific Ocean | country: United States of America",GBIF,,urn:catalog:SIO:BIC:C9660,,,,,,,FALSE,,
