"latitude","longitude","date","species","url","reference","n","location","depth","notes","source"
-12.47,48.196667,1972-01-19,"","https://www.gbif.org/occurrence/1019684712","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6402","GBIF"
-12.47,48.196667,1972-01-19,"","https://www.gbif.org/occurrence/1019684723","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6403","GBIF"
-12.47,48.196667,1972-01-19,"","https://www.gbif.org/occurrence/1019684733","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6404","GBIF"
-12.47,48.196667,1972-01-19,"","https://www.gbif.org/occurrence/1019684743","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6405","GBIF"
-12.47,48.196667,1972-01-19,"","https://www.gbif.org/occurrence/1019684755","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6406","GBIF"
-12.45,48.208332,1972-01-19,"","https://www.gbif.org/occurrence/1019684880","Dataset: NA",1,"Madagascar",602.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6375","GBIF"
27.406667,-94.941667,1972-07-17,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574113","Dataset: NA",1,"NW Gulf of Mexico",1161,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6500","GBIF"
23.46,-97.205,1972-07-11,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574119","Dataset: NA",1,"SW Gulf of Mexico",677,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6520","GBIF"
23.575,-97.03,1972-07-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574138","Dataset: NA",1,"SW Gulf of Mexico",787,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6513","GBIF"
26.926667,-95.175,1972-07-17,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574139","Dataset: NA",1,"NW Gulf of Mexico",1376,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6508","GBIF"
